rating out of 5,date
5,"Oct 05, 2022"
5,"Oct 05, 2022"
5,"Oct 05, 2022"
5,"Oct 05, 2022"
5,"Oct 05, 2022"
5,"Oct 04, 2022"
5,"Oct 04, 2022"
5,"Oct 04, 2022"
1,"Oct 04, 2022"
1,"Oct 04, 2022"
5,"Oct 04, 2022"
5,"Oct 04, 2022"
5,"Oct 04, 2022"
5,"Oct 04, 2022"
5,"Oct 03, 2022"
5,"Oct 03, 2022"
5,"Oct 03, 2022"
5,"Oct 03, 2022"
5,"Oct 03, 2022"
5,"Oct 03, 2022"
5,"Oct 02, 2022"
4,"Oct 02, 2022"
5,"Oct 02, 2022"
5,"Oct 01, 2022"
5,"Oct 01, 2022"
3,"Oct 01, 2022"
5,"Sep 30, 2022"
5,"Sep 30, 2022"
4,"Sep 30, 2022"
5,"Sep 30, 2022"
5,"Sep 30, 2022"
5,"Sep 30, 2022"
5,"Sep 30, 2022"
5,"Sep 30, 2022"
5,"Sep 29, 2022"
5,"Sep 29, 2022"
5,"Sep 29, 2022"
5,"Sep 29, 2022"
5,"Sep 29, 2022"
5,"Sep 28, 2022"
5,"Sep 28, 2022"
5,"Sep 28, 2022"
5,"Sep 28, 2022"
5,"Sep 28, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 27, 2022"
5,"Sep 26, 2022"
5,"Sep 26, 2022"
5,"Sep 26, 2022"
5,"Sep 26, 2022"
5,"Sep 26, 2022"
5,"Sep 25, 2022"
5,"Sep 25, 2022"
5,"Sep 25, 2022"
5,"Sep 25, 2022"
5,"Sep 25, 2022"
5,"Sep 25, 2022"
5,"Sep 25, 2022"
5,"Sep 25, 2022"
5,"Sep 25, 2022"
5,"Sep 25, 2022"
5,"Sep 25, 2022"
4,"Sep 25, 2022"
5,"Sep 24, 2022"
5,"Sep 24, 2022"
5,"Sep 24, 2022"
5,"Sep 24, 2022"
5,"Sep 24, 2022"
5,"Sep 24, 2022"
5,"Sep 24, 2022"
5,"Sep 23, 2022"
5,"Sep 23, 2022"
5,"Sep 23, 2022"
5,"Sep 23, 2022"
5,"Sep 23, 2022"
5,"Sep 23, 2022"
5,"Sep 22, 2022"
5,"Sep 22, 2022"
5,"Sep 22, 2022"
5,"Sep 22, 2022"
5,"Sep 22, 2022"
4,"Sep 22, 2022"
5,"Sep 22, 2022"
4,"Sep 22, 2022"
5,"Sep 21, 2022"
5,"Sep 21, 2022"
5,"Sep 21, 2022"
5,"Sep 21, 2022"
5,"Sep 20, 2022"
5,"Sep 20, 2022"
5,"Sep 20, 2022"
5,"Sep 20, 2022"
3,"Sep 20, 2022"
5,"Sep 20, 2022"
5,"Sep 19, 2022"
5,"Sep 19, 2022"
5,"Sep 19, 2022"
5,"Sep 18, 2022"
5,"Sep 18, 2022"
5,"Sep 18, 2022"
5,"Sep 18, 2022"
5,"Sep 18, 2022"
5,"Sep 18, 2022"
5,"Sep 18, 2022"
5,"Sep 17, 2022"
5,"Sep 16, 2022"
5,"Sep 16, 2022"
5,"Sep 16, 2022"
