rating out of 5,date
5,"Jan 07, 2023"
5,"Jan 07, 2023"
5,"Jan 06, 2023"
1,"Jan 05, 2023"
5,"Jan 05, 2023"
3,"Jan 05, 2023"
5,"Jan 04, 2023"
5,"Jan 02, 2023"
4,"Dec 31, 2022"
5,"Dec 31, 2022"
5,"Dec 29, 2022"
5,"Dec 28, 2022"
5,"Dec 28, 2022"
4,"Dec 28, 2022"
5,"Dec 27, 2022"
5,"Dec 25, 2022"
5,"Dec 24, 2022"
5,"Dec 23, 2022"
5,"Dec 22, 2022"
5,"Dec 22, 2022"
5,"Dec 22, 2022"
5,"Dec 21, 2022"
2,"Dec 21, 2022"
1,"Dec 21, 2022"
5,"Dec 20, 2022"
5,"Dec 20, 2022"
5,"Dec 20, 2022"
5,"Dec 19, 2022"
5,"Dec 19, 2022"
5,"Dec 19, 2022"
5,"Dec 18, 2022"
1,"Dec 18, 2022"
5,"Dec 17, 2022"
4,"Dec 16, 2022"
5,"Dec 16, 2022"
5,"Dec 16, 2022"
5,"Dec 15, 2022"
5,"Dec 15, 2022"
5,"Dec 15, 2022"
5,"Dec 15, 2022"
5,"Dec 15, 2022"
5,"Dec 15, 2022"
5,"Dec 14, 2022"
5,"Dec 14, 2022"
5,"Dec 13, 2022"
5,"Dec 13, 2022"
5,"Dec 13, 2022"
5,"Dec 13, 2022"
5,"Dec 13, 2022"
5,"Dec 13, 2022"
5,"Dec 13, 2022"
1,"Dec 13, 2022"
5,"Dec 13, 2022"
5,"Dec 12, 2022"
5,"Dec 12, 2022"
5,"Dec 12, 2022"
1,"Dec 11, 2022"
5,"Dec 11, 2022"
5,"Dec 10, 2022"
4,"Dec 10, 2022"
5,"Dec 10, 2022"
5,"Dec 10, 2022"
4,"Dec 09, 2022"
1,"Dec 09, 2022"
5,"Dec 09, 2022"
5,"Dec 08, 2022"
5,"Dec 08, 2022"
5,"Dec 08, 2022"
5,"Dec 08, 2022"
5,"Dec 07, 2022"
5,"Dec 07, 2022"
5,"Dec 07, 2022"
5,"Dec 07, 2022"
5,"Dec 07, 2022"
5,"Dec 07, 2022"
5,"Dec 07, 2022"
5,"Dec 07, 2022"
5,"Dec 07, 2022"
5,"Dec 06, 2022"
5,"Dec 06, 2022"
4,"Dec 06, 2022"
5,"Dec 06, 2022"
5,"Dec 06, 2022"
5,"Dec 06, 2022"
5,"Dec 05, 2022"
5,"Dec 05, 2022"
5,"Dec 05, 2022"
5,"Dec 05, 2022"
5,"Dec 04, 2022"
5,"Dec 04, 2022"
5,"Dec 04, 2022"
3,"Dec 04, 2022"
5,"Dec 03, 2022"
5,"Dec 03, 2022"
5,"Dec 03, 2022"
5,"Dec 02, 2022"
5,"Dec 02, 2022"
5,"Dec 02, 2022"
5,"Dec 02, 2022"
5,"Dec 02, 2022"
5,"Dec 02, 2022"
5,"Dec 02, 2022"
5,"Dec 01, 2022"
5,"Dec 01, 2022"
4,"Dec 01, 2022"
5,"Dec 01, 2022"
5,"Dec 01, 2022"
5,"Dec 01, 2022"
5,"Dec 01, 2022"
5,"Dec 01, 2022"
5,"Dec 01, 2022"
5,"Nov 30, 2022"
5,"Nov 30, 2022"
5,"Nov 30, 2022"
5,"Nov 30, 2022"
5,"Nov 30, 2022"
5,"Nov 30, 2022"
5,"Nov 30, 2022"
5,"Nov 30, 2022"
5,"Nov 29, 2022"
5,"Nov 29, 2022"
5,"Nov 29, 2022"
5,"Nov 29, 2022"
5,"Nov 28, 2022"
5,"Nov 28, 2022"
5,"Nov 27, 2022"
5,"Nov 27, 2022"
5,"Nov 27, 2022"
5,"Nov 27, 2022"
5,"Nov 26, 2022"
5,"Nov 26, 2022"
5,"Nov 26, 2022"
5,"Nov 25, 2022"
5,"Nov 25, 2022"
5,"Nov 25, 2022"
4,"Nov 25, 2022"
5,"Nov 23, 2022"
1,"Nov 23, 2022"
5,"Nov 23, 2022"
5,"Nov 23, 2022"
5,"Nov 23, 2022"
5,"Nov 23, 2022"
5,"Nov 23, 2022"
5,"Nov 23, 2022"
5,"Nov 23, 2022"
5,"Nov 22, 2022"
5,"Nov 22, 2022"
5,"Nov 22, 2022"
5,"Nov 22, 2022"
5,"Nov 22, 2022"
5,"Nov 22, 2022"
5,"Nov 22, 2022"
5,"Nov 22, 2022"
5,"Nov 21, 2022"
4,"Nov 20, 2022"
5,"Nov 20, 2022"
5,"Nov 19, 2022"
5,"Nov 19, 2022"
5,"Nov 19, 2022"
5,"Nov 18, 2022"
5,"Nov 18, 2022"
5,"Nov 18, 2022"
5,"Nov 18, 2022"
5,"Nov 18, 2022"
5,"Nov 18, 2022"
5,"Nov 18, 2022"
5,"Nov 17, 2022"
1,"Nov 17, 2022"
5,"Nov 17, 2022"
4,"Nov 17, 2022"
5,"Nov 16, 2022"
5,"Nov 16, 2022"
